"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","fit_size","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","volume_comprimento","volume_altura","volume_largura","posting_days","description","short_description","meta_keyword","custom_layout_update","postmethods","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","custom_design","manufacturer"
"admin","base","Default","simple","371,372,373,374,375","AL13015701","0","Banqueta","","","/b/a/banqueta_2.jpg","/b/a/banqueta_2.jpg","/b/a/banqueta_2.jpg","banqueta","banqueta.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","11999.0000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Banqueta feita com os pés em cobre e assento em madeira jatobá","Banqueta","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-31 16:13:32","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Banqueta","0","simple","","","","","","","","",""
"admin","","","","","AL13015701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/a/banqueta_1.jpg","","1","0","",""
"admin","base","Default","simple","371,372,373,374,375","AL130210601","0","Triplo","","","/t/r/triplo_2.jpg","/t/r/triplo_2.jpg","/t/r/triplo_2.jpg","triplo","triplo.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","3199.0000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.","Triplo","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-31 16:13:33","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Triplo","0","simple","","","","","","","","",""
"admin","","","","","AL130210601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/t/r/triplo_1.jpg","","1","0","",""
"admin","base","Default","simple","371,372,373,374,375","AL130210602","0","Duplo","","","/d/u/duplo_2.jpg","/d/u/duplo_2.jpg","/d/u/duplo_2.jpg","duplo","duplo.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","2599.0000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.","Duplo","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-31 16:13:34","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Duplo","0","simple","","","","","","","","",""
"admin","","","","","AL130210602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/d/u/duplo_1.jpg","","1","0","",""
"admin","base","Default","simple","371,372,373,374,375","AL130210603","0","Solo","","","","","","solo","solo.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","1079.0000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.","Solo","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-30 15:31:51","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Solo","0","simple","","","","","","","","",""
"admin","base","Default","simple","371,372,373,374,375","AL13027901","0","Luminária de Mesa Tridente","","","","","","luminaria-de-mesa-tridente","luminaria-de-mesa-tridente.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","1209.9000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.","Luminária de Mesa Tridente","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-31 13:38:58","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Luminária de Mesa Tridente","0","simple","","","","","","","","",""
"admin","base","Default","simple","371,372,373,374,375","AL13027902","0","Luminária de Mesa Cross","","","/c/r/cross_2.jpg","/c/r/cross_2.jpg","/c/r/cross_2.jpg","luminaria-de-mesa-cross","luminaria-de-mesa-cross.html","Sem atualizações de leiaute","Bloco depois da Coluna de Informação","","",""," ","Utilizar configuração","Utilizar configuração","Não","","149971.0000","","0.0000","","Habilitado","Não","Catálogo, Busca","Nenhum","","","","","Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.","Luminária de Mesa Cross","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-05-31 16:13:36","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Luminária de Mesa Cross","0","simple","","","","","","","","",""
"admin","","","","","AL13027902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/c/r/cross_1.jpg","","1","0","",""
