     v,websites,attribute_set,type,category_ids,sku,has_options,name,image,small_image,thumbnail,url_key,url_path,options_container,price,weight,status,visibility,tax_class_id,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,image_label,small_image_label,thumbnail_label,fit_size,special_price,msrp,volume_comprimento,volume_altura,volume_largura,posting_days,meta_keyword,custom_layout_update,postmethods,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,custom_design,page_layout,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,manufacturer,is_recurring
admin,base,Default,,"365,371,372,373,374,375",AL13015701,0,Banqueta,,,,banqueta,banqueta.html,Bloco depois da Coluna de Informação,"1199,9",0,Habilitado,"Catálogo, Busca",Nenhum,Banqueta feita com os pés em cobre e assento em madeira jatobá,Banqueta,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 00:33:41,,1,0,0,1,1,0,1,0,0,1,1,Banqueta,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL130210601,0,Triplo,,,,triplo,triplo.html,Bloco depois da Coluna de Informação,"319,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Triplo,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 00:34:09,,1,0,0,1,1,0,1,0,0,1,1,Triplo,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL130210602,0,Duplo,,,,duplo,duplo.html,Bloco depois da Coluna de Informação,"259,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Duplo,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 00:33:59,,1,0,0,1,1,0,1,0,0,1,1,Duplo,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL130210603,0,Solo,,,,solo,solo.html,Bloco depois da Coluna de Informação,"107,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Solo,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 00:33:50,,1,0,0,1,1,0,1,0,0,1,1,Solo,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027901,0,Luminária de Mesa Tridente,,,,luminaria-de-mesa-tridente,luminaria-de-mesa-tridente.html,Bloco depois da Coluna de Informação,"1163,24",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Luminária de Mesa Tridente,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 12:29:24,,1,0,0,1,1,0,1,0,0,1,1,Luminária de Mesa Tridente,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027902,0,Luminária de Mesa Cross,,,,luminaria-de-mesa-cross,luminaria-de-mesa-cross.html,Bloco depois da Coluna de Informação,"1499,71",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Luminária de Mesa Cross,,0,0,1,0,0,1,1,1,0,1,0,2016-05-25 12:29:15,,1,0,0,1,1,0,1,0,0,1,1,Luminária de Mesa Cross,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027903,0,EFE,,,,efe,efe.html,Bloco depois da Coluna de Informação,"1099,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",EFE,,0,0,1,0,0,1,1,1,0,1,0,2016-05-27 16:40:33,,1,0,0,1,1,0,1,0,0,1,1,EFE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027904,0,Cactus,,,,cactus,cactus.html,Bloco depois da Coluna de Informação,"1483,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Cactus,,0,0,1,0,0,1,1,1,0,1,0,2016-05-27 14:18:31,,1,0,0,1,1,0,1,0,0,1,1,Cactus,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027905,0,Diagonal,,,,diagonal,diagonal.html,Bloco depois da Coluna de Informação,"579,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Diagonal,,0,0,1,0,0,1,1,1,0,1,0,2016-05-27 14:50:01,,1,0,0,1,1,0,1,0,0,1,1,Diagonal,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027906,0,Pêndulo,,,,pendulo,pendulo.html,Bloco depois da Coluna de Informação,"619,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Pêndulo,,0,0,1,0,0,1,1,1,0,1,0,2016-05-27 14:19:33,,1,0,0,1,1,0,1,0,0,1,1,Pêndulo,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
admin,base,Default,,"365,371,372,373,374,375",AL13027907,0,Dentro,,,,dentro,dentro.html,Bloco depois da Coluna de Informação,"619,9",0,Habilitado,"Catálogo, Busca",Nenhum,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Dentro,,0,0,1,0,0,1,1,1,0,1,0,2016-05-27 14:49:29,,1,0,0,1,1,0,1,0,0,1,1,Dentro,0,simple,,,,,,,,,,,,,,,,,,,,,,,,Sem atualizações de leiaute, ,Utilizar configuração,Utilizar configuração,Não,,Não
