sku,image,small_image,thumbnail
AL1421481,/101.jpg,/101.jpg,/101.jpg
AL1421482,/105.jpg,/105.jpg,/105.jpg
AL1421483,/106.jpg,/106.jpg,/106.jpg
AL1421484,/109.jpg,/109.jpg,/109.jpg
AL1421485,/112.jpg,/112.jpg,/112.jpg
AL1421486,/113.jpg,/113.jpg,/113.jpg
AL1421487,/114.jpg,/114.jpg,/114.jpg
AL1421488,/115.jpg,/115.jpg,/115.jpg
AL1421489,/117.jpg,/117.jpg,/117.jpg
AL14214810,/119.jpg,/119.jpg,/119.jpg
AL14211,/102.jpg,/102.jpg,/102.jpg
AL14212,/103.jpg,/103.jpg,/103.jpg
AL14213,/104.jpg,/104.jpg,/104.jpg
AL14214,/110.jpg,/110.jpg,/110.jpg
AL14215,/111.jpg,/111.jpg,/111.jpg
AL14216,/116.jpg,/116.jpg,/116.jpg
AL14217,/118.jpg,/118.jpg,/118.jpg
AL14218,/120.jpg,/120.jpg,/120.jpg
AL14219,/121.jpg,/121.jpg,/121.jpg
AL14220,/122.jpg,/122.jpg,/122.jpg
AL14221,/123.jpg,/123.jpg,/123.jpg
AL14222,/124.jpg,/124.jpg,/124.jpg
AL14223,/125.jpg,/125.jpg,/125.jpg
AL14224,/126.jpg,/126.jpg,/126.jpg
AL14225,/127.jpg,/127.jpg,/127.jpg
