store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,fit_size,price,special_price,weight,msrp,manufacturer,status,is_recurring,visibility,tax_class_id,volume_comprimento,volume_altura,volume_largura,posting_days, ,short_description,meta_keyword,custom_layout_update,postmethods,product_shipping,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Default,simple,373,LO1413401,0,Cabide de Madeira Ecológico Simples,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,17.9,,0.25 kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,42,15,Cabide de Madeira Ecológico Simples,Cabide de Madeira Ecológico Simples,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413402,0,Cabide de Madeira Ecológico Simples.,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,9.9,,0.45 kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,2",,43,15,Cabide de Madeira Ecológico Simples.,Cabide de Madeira Ecológico Simples.,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-15 14:24:32,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413403,0,Cabide de Madeira Ecológico Tradicional Simples,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,9.9,,0.35kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,42,15,Cabide de Madeira Ecológico Tradicional Simples,Cabide de Madeira Ecológico Tradicional Simples,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413404,0,Cabide de Madeira Ecológico Tradicional Simples,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,9.9,,0.35kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,42,15,Cabide de Madeira Ecológico Tradicional Simples,Cabide de Madeira Ecológico Tradicional Simples,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-15 14:24:32,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413405,0,Cabide de Madeira Excutivo Feminino Ecológico,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,24.9,,0.25kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"2,5/ 4,5 (ombreiras)",,44,15,Cabide de Madeira Excutivo Feminino Ecológico,Cabide de Madeira Excutivo Feminino Ecológico,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413406,0,Cabide de Madeira Simples Ecológico,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,9.9,,0.35kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,42,15,Cabide de Madeira Simples Ecológico,Cabide de Madeira Simples Ecológico,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-15 14:24:32,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413407,0,Cabide de madeira com veludo nas pontas e no calceiro.,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,14.9,,1kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,2,,40,15,Cabide de madeira com veludo nas pontas e no calceiro.,Cabide de madeira com veludo nas pontas e no calceiro.,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413408,0,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,11.9,,0.45kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,42,15,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-15 14:24:32,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO1413409,0,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,11.9,,0.35kg,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,2",,43,15,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,Cabide de Madeira Ecológico Com Calceiro Antiderrapante,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
admin,base,Default,simple,373,LO14134010,0,Cabide de Madeira Ecológico Exclusivo para Calça,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,7.9,,0.35,,TS Cabides,Habilitado,Não,"Catálogo, Busca",Nenhum,"1,5",,40,15,Cabide de Madeira Ecológico Exclusivo para Calça,Cabide de Madeira Ecológico Exclusivo para Calça,,,,,,,,,,,10,10,1,0,0,1,,1,0.0000,1,0,2016-06-15 14:24:32,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,0,simple,,,,,,,
